policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
1.0146239,166,371,0.010046763,0.14428711,0.6023270189762115,0.0015722796,960.840184211731,2.53,339968,339968,-0.006049634,913.21
0.83361495,167,339,0.011528866,0.15517578,0.647823303937912,0.004746451,966.8669257164001,2.54,342016,342016,-0.0058856444,896.61
1.0198181,168,358,0.011360429,0.15283203,0.13773691654205322,0.20987697,972.587324142456,2.43,344064,344064,-0.0051187254,894.47
0.80213785,169,374,0.015243369,0.13857421,0.9211957976222038,0.00031628372,978.0504653453827,2.29,346112,346112,-0.0034859139,898.99
0.9091755,170,350,0.010161644,0.1293457,0.928776279091835,0.0006605098,983.888650894165,2.19,348160,348160,-0.005991047,908.34
0.8463322,171,340,0.0125551205,0.1402832,0.20047539472579956,0.20261824,989.910914182663,2.31,350208,350208,-0.0023381338,907.5
0.9213794,172,331,0.012283441,0.1607422,0.23516827821731567,0.2554889,996.0811071395874,2.47,352256,352256,-0.0036748487,898.86
0.8578125,173,329,0.050886393,0.12641601,0.30361026525497437,0.26901707,1002.3016791343689,2.61,354304,354304,-0.0023915279,887.98
0.74672085,174,337,0.019175844,0.19414063,0.5908585488796234,0.000502429,1008.3646032810211,2.5,356352,356352,0.00045388556,879.12
0.77750105,175,336,0.018923737,0.18530273,0.5945801436901093,0.00043323255,1014.4587602615356,2.34,358400,358400,-0.0017189821,883.84
0.85168266,176,359,0.01142708,0.12641601,0.7811242043972015,0.00045845658,1020.161031961441,2.34,360448,360448,-0.0016688412,887.68
1.0060186,177,318,0.008898971,0.09506836,0.728161484003067,0.0252415,1026.595946073532,2.24,362496,362496,-0.0013311667,883.37
0.8932287,178,335,0.0065412656,0.072705075,0.45054131746292114,0.15857126,1032.7018551826477,2.15,364544,364544,6.1722814e-05,879.53
0.8206118,179,337,0.018646613,0.18134765,0.7224982380867004,0.004176832,1038.7715554237366,2.05,366592,366592,-0.0031133262,880.98
0.8215443,180,338,0.023803335,0.2244629,0.8026774227619171,0.0023949114,1044.8214800357819,2.05,368640,368640,-0.012869038,876.22
0.7816871,181,319,0.009300486,0.120507814,0.35700666904449463,0.06657125,1051.2358572483063,2.01,370688,370688,0.0016814165,865.09
0.8004073,182,312,0.011743168,0.14912109,0.15491515398025513,0.07736944,1057.786071062088,1.91,372736,372736,0.0010449148,854.61
