eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
774.0,0.4461466,213000,317.871103,3.4602933,0.006266667,142,213000,0.0011771357,322,0.993293468374759,-0.0016470386,657.8577337265015
931.0,0.46891445,214500,316.33442,5.7221794,0.012066666,143,214500,0.0011407945,324,0.9886661544442177,-0.0010088012,662.4737799167633
935.0,0.49187124,216000,481.465723,14.753109,0.053999975,144,216000,0.0033771566,317,0.9736289530992508,-0.005975231,667.2028357982635
656.0,0.3386466,217500,314.681844,9.989745,0.0,145,217500,2.676124e-05,326,0.9762191586196423,-3.698309e-05,671.7990808486938
578.0,0.5771882,219000,207.819101,4.3927417,0.0049999985,146,219000,0.0017381036,324,0.9921168377622962,-0.0009839007,676.4230184555054
597.0,0.41257736,220500,314.205353,24.654852,0.010399996,147,220500,0.0008162266,315,0.9570598751306534,-0.0037443861,681.1847624778748
655.0,0.487642,222000,249.315546,5.53927,0.011266662,148,222000,0.0017512381,323,0.9894454153254628,-0.002077281,685.8173801898956
709.0,0.63102967,223500,300.209275,13.359615,0.02353333,149,223500,0.002197426,323,0.9771692119538784,-0.0018456654,690.46151304245
617.0,0.33303806,225000,272.483894,35.551876,0.008799999,150,225000,0.0012118983,298,0.9109456166625023,-0.0013773356,695.4949309825897
710.0,0.3700546,226500,274.560934,26.980955,0.0046666665,151,226500,0.0007979628,315,0.9438942670822144,-0.0017448295,700.2506623268127
630.0,0.4589584,228000,371.27992,20.033796,0.0064666653,152,228000,0.0010386781,286,0.9603423438966274,-0.002132955,705.4845116138458
881.0,0.4798707,229500,375.644764,29.322044,0.0023999996,153,229500,0.0006351967,293,0.9513567127287388,-0.0003147149,710.6018278598785
719.0,0.4601995,231000,304.864172,15.334389,0.015999991,154,231000,0.0019540365,297,0.9753916691988707,-0.0028338644,715.6373693943024
678.0,0.37870994,232500,195.908695,8.112894,0.01586666,155,232500,0.0010870054,295,0.9837949611246586,-0.0030094867,720.7079737186432
836.0,0.5531194,234000,444.974046,13.871273,0.012999999,156,234000,0.0018210317,340,0.9799259565770626,-0.0014809004,725.115002155304
997.0,0.703005,235500,459.117311,1.4112989,0.01906666,157,235500,0.0025930437,304,0.9980173434596509,-0.0024858785,730.0399577617645
604.0,0.36079702,237000,226.023648,3.765968,0.015199994,158,237000,0.0012474078,326,0.9901898177340627,-0.0031447322,734.633367061615
1055.0,0.61056805,238500,509.010988,22.857594,0.011999998,159,238500,0.0018849291,334,0.9676853902637959,-0.0017114767,739.1148846149445
663.0,0.42272756,240000,326.566706,33.23802,0.010666663,160,240000,0.0011625187,330,0.9458742924034595,-0.0020996819,743.6533629894257
853.0,0.6174434,241500,326.047563,4.0586524,0.005933333,161,241500,0.0013452384,319,0.9938036445528269,-0.0018869169,748.3504450321198
895.0,0.5021878,243000,452.51156,12.362687,0.00953333,162,243000,0.0016449457,320,0.979697173461318,-0.0035251877,753.0312523841858
668.0,0.60814,244500,317.75982,21.868797,0.00040000002,163,244500,0.00048267367,347,0.9649052284657955,-0.0005579792,757.3424785137177
579.0,0.39205492,246000,265.59374,45.13909,0.0023999996,164,246000,0.0005728249,303,0.9310853257775307,-0.000492708,762.2895274162292
632.0,0.5783142,247500,311.629708,3.7916763,0.033399984,165,247500,0.0032149255,322,0.9940866688266397,-0.003115208,766.9455568790436
599.0,0.3864995,249000,252.206616,21.336485,0.0068666665,166,249000,0.0008504269,318,0.9674322083592415,-0.00078773574,771.6615717411041
654.0,0.61626166,250500,302.846492,18.315857,0.015399997,167,250500,0.0019148409,315,0.9735723491758108,-0.001785855,776.4199330806732
625.0,0.25011817,252000,249.210171,37.01658,0.04453332,168,252000,0.0040264837,325,0.9241625592112541,-0.0032982402,781.0291187763214
841.0,0.34810376,253500,196.239649,6.0346437,0.024533322,169,253500,0.0018579916,329,0.9873287193477154,-0.0026858388,785.5879936218262
792.0,0.49994147,255000,369.6618,16.469124,0.017333334,170,255000,0.0015205682,319,0.9751612301915884,-0.003404295,790.2811996936798
596.0,0.29228646,256500,113.57265,16.208786,0.0031999997,171,256500,0.00036117557,329,0.965271532535553,-0.0002413434,794.8282907009125
767.0,0.4217528,258000,305.661031,12.831346,0.01586666,172,258000,0.0016391218,323,0.9806815087795258,-0.0021342556,799.4585204124451
