fps,eplenmean,value_loss,nupdates,time_elapsed,clipfrac,policy_entropy,policy_loss,total_timesteps,explained_variance,serial_timesteps,eprewmean,approxkl
587,448.62666666666667,0.14046493,1560,7785.3363037109375,0.14003906,0.5780826,-0.001484852,3194880,0.8987267911434174,399360,8.817225456666666,0.011950797
491,450.7366666666667,0.3748532,1561,7789.5044486522675,0.023242187,0.40536523,-0.000104833394,3196928,0.8069035559892654,399616,8.80620441,0.0027858065
317,450.29,7.7448936,1562,7795.962967157364,0.019824218,0.35070017,-0.00027107736,3198976,0.3663678765296936,399872,8.94986168,0.0019700418
518,450.86,0.09207156,1563,7799.917294025421,0.13232422,0.44632512,-0.0027881998,3201024,0.923623688519001,400128,8.92032116,0.016680283
384,448.98333333333335,1.0211592,1564,7805.239594459534,0.02319336,0.34805465,0.0003047324,3203072,0.7448378801345825,400384,9.03536066,0.0012850862
393,447.52,0.26898018,1565,7810.444873332977,0.0024902343,0.31379998,-0.0005850928,3205120,0.8731889426708221,400640,8.980494183333333,0.00048853166
433,445.68,0.5351242,1566,7815.173916339874,0.005859375,0.33544248,-0.00042761257,3207168,0.8104715943336487,400896,8.910056303333334,0.0005092419
329,444.0233333333333,1.7268814,1567,7821.395148515701,0.008496094,0.44599658,-0.0001007434,3209216,0.6679699122905731,401152,8.997677983333332,0.0011190292
576,442.24,0.1671494,1568,7824.948911190033,0.022216797,0.2361311,-0.00038829166,3211264,0.9090360105037689,401408,8.945889366666666,0.0021979008
383,442.11,0.22270617,1569,7830.290684938431,0.0017578125,0.2536323,-0.00031369348,3213312,0.9211498647928238,401664,9.017545283333334,0.00032001207
322,437.8,0.28220755,1570,7836.63746714592,0.006787109,0.21018095,-0.00048499025,3215360,0.8800115212798119,401920,8.965227423333333,0.00065282907
459,436.97,0.25841588,1571,7841.092168569565,0.0030273437,0.14198464,-0.00068165245,3217408,0.8322630971670151,402176,8.86920666,0.00030201036
359,435.7,0.40191856,1572,7846.78271985054,0.0020996095,0.10853714,-5.8195943e-05,3219456,0.7790320813655853,402432,8.814196283333333,0.00015731591
317,431.42333333333335,0.3679716,1573,7853.226129770279,0.00083007815,0.21136531,-0.00034426746,3221504,0.8638845235109329,402688,8.719060096666666,0.00015876078
310,427.61,0.7015055,1574,7859.82642865181,0.0045898436,0.11335939,-0.00013656818,3223552,0.6414666473865509,402944,8.54471913,0.00024331265
439,425.4166666666667,1.5871184,1575,7864.488822698593,0.0296875,0.21190317,0.00010285692,3225600,0.6728562414646149,403200,8.67669725,0.0027093966
294,421.63666666666666,3.655727,1576,7871.453001499176,0.026123047,0.29786745,-0.00089069724,3227648,0.47850799560546875,403456,8.591503153333333,0.002745085
