fps,eprewmean,total_timesteps,serial_timesteps,policy_loss,approxkl,explained_variance,value_loss,clipfrac,eplenmean,policy_entropy,time_elapsed,nupdates
674,405.75333333333333,2277376,284672,-0.0017377271,0.0064680143,0.8494422733783722,27.352493,0.08098755,1500.0,1.5612047,3271.9173448085785,139
660,396.6766666666667,2293760,286720,-0.00048673284,0.0012960042,0.8704584091901779,10.137247,0.005102539,1500.0,1.5382391,3296.7331142425537,140
687,380.29333333333335,2310144,288768,-7.1885464e-05,0.0048111356,0.8984999135136604,1.3920854,0.04696045,1500.0,1.5671552,3320.5786213874817,141
687,361.25666666666666,2326528,290816,-0.0010163711,0.0013839048,0.8949732109904289,5.444267,0.0042785644,1500.0,1.5596409,3344.396592617035,142
687,371.74333333333334,2342912,292864,-0.001217336,0.002718373,0.8422186225652695,12.963084,0.0074646,1500.0,1.5412823,3368.229813814163,143
698,367.37,2359296,294912,0.0002323923,0.008158481,0.8719437122344971,2.2753444,0.082531735,1500.0,1.5874412,3391.6726081371307,144
650,360.7,2375680,296960,-0.00020452004,0.0059499987,0.899659164249897,0.119005226,0.05897827,1500.0,1.5838919,3416.867352247238,145
705,366.50333333333333,2392064,299008,-0.0008713521,0.0017973247,0.8676165342330933,11.328069,0.015142823,1500.0,1.525791,3440.0838391780853,146
689,353.46666666666664,2408448,301056,-0.00053699606,0.0020057005,0.893876239657402,0.5220152,0.009161377,1500.0,1.5885869,3463.8356540203094,147
642,330.01666666666665,2424832,303104,-0.003141779,0.0066828257,0.7338773310184479,0.018888587,0.059472658,1500.0,1.5809009,3489.3363041877747,148
637,316.1066666666667,2441216,305152,8.941897e-05,0.0026625467,0.8852864652872086,2.9739194,0.015698243,1500.0,1.4995865,3515.047167778015,149
567,302.93666666666667,2457600,307200,-0.00042141462,0.00062752515,0.8531110137701035,6.3650975,0.0010620117,1500.0,1.4859579,3543.919356107712,150
669,295.27666666666664,2473984,309248,-0.00043865066,0.0003125157,0.881572462618351,3.4719067,0.0020751953,1500.0,1.4999483,3568.380128622055,151
722,278.7,2490368,311296,-0.00014011208,0.0017074995,0.9243032187223434,0.8464303,0.009777832,1500.0,1.5821579,3591.0624487400055,152
633,260.75666666666666,2506752,313344,-0.002437503,0.007225855,-0.03466916084289551,0.006027282,0.06559448,1500.0,1.5836908,3616.939424753189,153
697,243.85666666666665,2523136,315392,-0.00071952306,0.0017794057,0.9047816842794418,0.27131215,0.0050170897,1500.0,1.5565686,3640.4403138160706,154
709,243.29,2539520,317440,-8.6671374e-05,0.00017992323,0.7877664566040039,8.638859,4.272461e-05,1500.0,1.4873092,3663.517910718918,155
666,246.79666666666665,2555904,319488,-0.0011118867,0.0012552489,0.6864004135131836,15.556496,0.004736328,1500.0,1.4934732,3688.0942680835724,156
706,254.50333333333333,2572288,321536,-0.00027287766,0.00025590888,0.8530456870794296,6.771186,0.0,1500.0,1.5172718,3711.277838945389,157
645,239.97666666666666,2588672,323584,-0.00068246585,0.004188501,0.8512863516807556,0.62769103,0.031188965,1500.0,1.5725354,3736.6602194309235,158
699,231.72333333333333,2605056,325632,-1.4641726e-06,0.00755074,0.8107559680938721,0.10705352,0.060333252,1500.0,1.5692666,3760.0730328559875,159
708,218.16,2621440,327680,-0.00018014833,0.003557697,0.8714388161897659,2.6950243,0.00095825194,1500.0,1.5309322,3783.2060441970825,160
615,190.97333333333333,2637824,329728,-0.00089847547,0.00092493556,0.8630206286907196,5.342677,0.0059020994,1500.0,1.519537,3809.8248035907745,161
717,165.32,2654208,331776,-0.00090352056,0.0020259717,0.9129174798727036,1.9261749,0.011218262,1500.0,1.5616447,3832.667857170105,162
699,153.75,2670592,333824,-0.00011245436,0.0004960069,0.853544607758522,6.9085464,0.0004394531,1500.0,1.5113264,3856.1042098999023,163
712,160.40333333333334,2686976,335872,-0.00117328,0.00085057673,0.9121645241975784,5.613036,0.0016601563,1500.0,1.5584295,3879.1086814403534,164
687,140.32666666666665,2703360,337920,-0.0021679678,0.0079242,-0.05083894729614258,0.0012663344,0.05402832,1500.0,1.575284,3902.9504914283752,165
699,115.26,2719744,339968,0.0006005699,0.005782853,0.9401213377714157,0.90349454,0.027770996,1500.0,1.5586082,3926.3786809444427,166
644,105.16,2736128,342016,-0.0006717641,0.0004191664,0.9116367697715759,2.0597937,0.0031372071,1500.0,1.561406,3951.814502954483,167
618,96.41333333333333,2752512,344064,-0.0037602806,0.007928474,-0.5377587080001831,0.0014764229,0.06906738,1500.0,1.5748168,3978.322945833206,168
550,96.41333333333333,2768896,346112,-0.0036739174,0.007711432,0.47171449661254883,0.0006060994,0.05305786,1500.0,1.5633004,4008.080398082733,169
679,89.46666666666667,2785280,348160,0.001346723,0.0026492556,0.8260812312364578,3.670858,4.272461e-05,1500.0,1.5387847,4032.195790052414,170
688,82.22,2801664,350208,-0.001874103,0.007403462,0.8516227006912231,0.3282899,0.046051025,1500.0,1.515704,4056.0021822452545,171
