fps,policy_loss,explained_variance,clipfrac,time_elapsed,approxkl,total_timesteps,policy_entropy,serial_timesteps,value_loss,eplenmean,nupdates,eprewmean
732,-0.0011596718,0.9202305227518082,0.007409668,4047.8648269176483,0.00097469037,3080192,1.5084295,385024,2.9571848,1497.0533333333333,188,86.11333333333333
693,-0.0008043564,0.883062332868576,0.0025390624,4071.4885623455048,0.0010618626,3096576,1.4682853,387072,6.1129103,1497.0533333333333,189,77.35666666666667
759,-0.00061335467,0.8667670786380768,0.0005126953,4093.05601644516,0.000501525,3112960,1.4741337,389120,13.008314,1500.0,190,89.81666666666666
755,-0.0014096566,0.8621436059474945,0.0059631346,4114.740252733231,0.0010915169,3129344,1.466438,391168,12.79432,1500.0,191,101.34
692,-0.0012561169,0.8995039835572243,0.0050231935,4138.413457155228,0.0013419442,3145728,1.5415827,393216,4.070369,1500.0,192,99.76333333333334
720,-0.0027551784,0.9234836921095848,0.017077636,4161.146084308624,0.0026201603,3162112,1.4978765,395264,1.9406617,1500.0,193,93.90333333333334
726,-0.00037439849,0.782623752951622,0.0014099121,4183.700213193893,0.00045988284,3178496,1.4299091,397312,26.54664,1500.0,194,104.75333333333333
690,-0.0009617365,0.8845980539917946,0.01581421,4207.438858747482,0.0048878016,3194880,1.5249922,399360,2.7872481,1500.0,195,103.11333333333333
749,-0.0011002591,0.8944361358880997,0.008331299,4229.308067321777,0.0022972585,3211264,1.5336773,401408,12.428724,1500.0,196,112.94
697,-0.0021621266,0.9129150882363319,0.02345581,4252.781965255737,0.004743601,3227648,1.5312867,403456,9.633709,1500.0,197,118.19666666666667
742,-0.0019405965,0.9044237807393074,0.01272583,4274.853149652481,0.002783427,3244032,1.5206214,405504,9.993004,1500.0,198,128.16
742,-0.0012390099,0.9103139340877533,0.011987304,4296.922215461731,0.0023617295,3260416,1.5373585,407552,15.136894,1500.0,199,134.70666666666668
691,-0.0026205094,0.911284402012825,0.14770508,4320.631632328033,0.011940911,3276800,1.5456951,409600,8.991881,1500.0,200,147.41
757,-0.0018312035,0.9492485746741295,0.013085937,4342.273637294769,0.004163984,3293184,1.5221063,411648,3.0916839,1500.0,201,147.41
759,-0.0011101991,0.8329712599515915,0.00939331,4363.834208011627,0.0018211349,3309568,1.5319759,413696,26.41861,1500.0,202,164.47333333333333
660,-0.00041648574,0.9134899824857712,0.02103882,4388.644438266754,0.0030126201,3325952,1.5255077,415744,6.5937934,1500.0,203,179.40666666666667
748,-0.0035726465,0.9181859418749809,0.074230954,4410.521506071091,0.0068715536,3342336,1.5094423,417792,6.469897,1500.0,204,181.53333333333333
738,-0.0023166735,0.9338295385241508,0.1491272,4432.699219942093,0.010425357,3358720,1.5364723,419840,0.032753356,1500.0,205,176.15666666666667
686,-0.0017049313,0.8649976849555969,0.03069458,4456.570672512054,0.005700185,3375104,1.5060214,421888,8.679383,1500.0,206,177.33333333333334
751,-0.0024722859,0.8185338973999023,0.011004639,4478.3754551410675,0.0025465712,3391488,1.5155742,423936,9.680308,1500.0,207,181.79333333333332
706,-9.5106996e-05,0.8164332807064056,0.0,4501.578164815903,0.00011513657,3407872,1.534063,425984,37.61902,1500.0,208,203.37666666666667
727,-0.0017477057,-0.017884135246276855,0.06339111,4524.107902765274,0.006057867,3424256,1.5728209,428032,0.5575099,1500.0,209,212.72
721,-0.0027859672,0.23357021808624268,0.07235718,4546.825724601746,0.007792524,3440640,1.5698721,430080,0.0051888335,1500.0,210,211.3
675,-0.0017138256,0.6700551807880402,0.059265137,4571.0848598480225,0.0045514912,3457024,1.569032,432128,13.227498,1500.0,211,219.12333333333333
736,-0.001720973,0.6362504959106445,0.0040893555,4593.342879295349,0.0010781117,3473408,1.5626519,434176,17.130123,1500.0,212,230.45666666666668
712,-0.00030160754,0.8956319466233253,3.0517578e-05,4616.352068901062,0.00017241407,3489792,1.5676042,436224,14.012982,1500.0,213,245.31
671,-0.0037182148,-0.14721238613128662,0.07074585,4640.757274627686,0.0073076757,3506176,1.547432,438272,0.0004786238,1500.0,214,242.27666666666667
756,-0.0030264563,0.8999812230467796,0.009106445,4662.415128469467,0.003040628,3522560,1.5375371,440320,1.8437245,1500.0,215,238.66666666666666
725,-5.3888525e-05,0.8985806033015251,0.000115966795,4685.0061230659485,0.0004682381,3538944,1.5476215,442368,10.655544,1500.0,216,248.10333333333332
707,-0.0005491701,0.9160982966423035,0.00054321287,4708.155752897263,0.00048004417,3555328,1.5303833,444416,8.4392805,1500.0,217,244.04333333333332
755,-0.0036269277,0.27893000841140747,0.09060059,4729.8530395030975,0.0077302703,3571712,1.5362065,446464,0.0010572345,1500.0,218,233.14
657,-0.005095209,0.8635797798633575,0.11902466,4754.779817819595,0.009420507,3588096,1.543063,448512,0.004028251,1500.0,219,219.78666666666666
