approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.005135372,338,225000,1.581004,0.025055416,225000,-0.0015258424,1500.0,0.06826663,590.7653517723083,0.4768738,150,0.5750611424446106
0.0057607507,353,226500,0.527225,0.42383116,226500,-0.004442893,1500.0,0.08453331,595.0129954814911,0.4916994,151,0.6695779263973236
0.00456465,383,228000,1.353367,0.18369865,228000,-0.0027512314,1500.0,0.05866663,598.920179605484,0.46518275,152,0.19300496578216553
0.0027571898,384,229500,0.392351,0.10011528,229500,0.0006138625,1500.0,0.030799985,602.8187205791473,0.5284116,153,0.4286462068557739
0.0074533755,387,231000,0.0,0.055776574,231000,-0.007409268,1500.0,0.100599974,606.6938977241516,0.5924687,154,0.4984526038169861
0.0034238747,377,232500,0.317458,0.42828968,232500,-0.002780195,1500.0,0.04033331,610.6655168533325,0.5255188,155,0.5106214284896851
0.005611052,384,234000,10.147473,0.61465746,234000,-0.0010211138,1483.0,0.07679995,614.5694253444672,0.49882394,156,0.01221233606338501
0.0046529127,371,235500,0.722527,0.14453842,235500,-0.0024191572,1500.0,0.059399962,618.6123242378235,0.5310584,157,0.2883707880973816
0.0058104307,375,237000,0.0,0.04563097,237000,-0.0019332983,1500.0,0.06733329,622.6059930324554,0.54559714,158,0.7991688400506973
0.009013165,384,238500,0.0,0.02702351,238500,-0.0073762797,1500.0,0.107000016,626.5097706317902,0.7026135,159,0.655531257390976
0.007925947,389,240000,0.0,0.049180962,240000,-0.008329517,1500.0,0.09926663,630.3581621646881,0.54793024,160,0.5465151965618134
0.00407801,393,241500,0.113846,0.1370107,241500,-0.002235611,1500.0,0.050066635,634.1666784286499,0.48059472,161,0.3044072389602661
0.007323286,389,243000,0.0,0.04260717,243000,-0.004065817,1500.0,0.06433329,638.0217816829681,0.5315918,162,0.16922760009765625
0.010830916,394,244500,0.082818,0.023591928,244500,-0.009980735,1500.0,0.101666644,641.8282063007355,0.587433,163,0.35590964555740356
