nupdates,serial_timesteps,time_elapsed,fps,value_loss,policy_entropy,approxkl,explained_variance,policy_loss,total_timesteps,eprewmean,eplenmean,clipfrac
128,192000,502.71172428131104,380,65.21645,0.90009314,0.0016044768,0.9001167416572571,-0.0008667147,192000,627.381632,1073.0,0.0033999993
129,193500,507.0035936832428,349,173.8293,0.91338456,0.0011320974,0.792014479637146,-0.003041304,193500,817.028342,1219.0,0.003733333
130,195000,510.8635284900665,388,72.6234,0.55025715,0.0060451985,0.9037610366940498,-0.0052433354,195000,585.535125,1047.0,0.09999998
131,196500,514.6303668022156,398,19.308218,0.9482294,0.0013363467,0.9696404337882996,-0.0016218183,196500,781.651878,1500.0,0.0011333334
132,198000,518.3978176116943,398,20.690893,0.9871271,0.0044231326,0.9637121707201004,-0.0036515417,198000,783.036006,1500.0,0.06219998
133,199500,522.2793662548065,386,18.74201,1.0096675,0.000417637,0.9521266594529152,-0.00037106738,199500,793.644803,1500.0,0.0
134,201000,526.1171174049377,390,20.03775,0.96251523,6.9882844e-05,0.9417933896183968,-0.00014188002,201000,943.020574,1500.0,0.0
135,202500,529.996515750885,386,18.526592,0.9106337,0.005906656,0.9698963072150946,-0.005517743,202500,899.582461,1500.0,0.058933325
136,204000,533.9113721847534,383,167.66376,0.91066515,0.004554942,0.6761787533760071,-0.002224991,204000,626.978077,1162.0,0.063866645
137,205500,537.7289581298828,392,42.363235,0.8874966,0.0011542949,0.9226074740290642,-0.0008683449,205500,796.617016,1500.0,0.0012
138,207000,541.5574753284454,391,21.041061,0.967338,0.0021744792,0.9632483310997486,-0.0016789528,207000,768.176462,1500.0,0.0016
139,208500,545.3524243831635,395,42.744347,1.0559276,0.008501196,0.9187652766704559,-0.00633331,208500,851.45572,1500.0,0.14466669
140,210000,549.1354262828827,396,43.19681,0.84043616,0.0052394397,0.9284175783395767,-0.0021647543,210000,797.156635,1500.0,0.06526665
141,211500,552.9290874004364,395,24.816692,0.9355734,0.004907576,0.9579928368330002,-0.005700342,211500,585.377518,1500.0,0.06126665
142,213000,556.7629978656769,391,21.002197,1.1279539,0.005118046,0.9477605521678925,-0.0036553047,213000,789.077622,1500.0,0.06259997
143,214500,560.6978008747101,381,24.661322,0.9085159,0.0023810014,0.9533898048102856,-0.0017123059,214500,836.083166,1500.0,0.023799997
144,216000,564.5195155143738,392,19.31231,0.9830363,0.0035955058,0.9693096503615379,-0.0030694234,216000,846.070839,1500.0,0.03259999
145,217500,568.4077789783478,385,20.41432,1.0508751,0.0022677747,0.9661263413727283,-0.0012182057,217500,779.946456,1500.0,0.0025333334
146,219000,572.2915802001953,386,20.09345,1.0089589,0.0035905084,0.9690218456089497,-0.0027241856,219000,771.942628,1500.0,0.05566664
147,220500,576.0759053230286,396,52.636753,0.993423,0.00031906876,0.9201969355344772,-0.00079735,220500,726.800322,1500.0,0.0
148,222000,579.8528144359589,397,20.8893,1.1190886,0.0037256437,0.9490606151521206,-0.0020177877,222000,641.809381,1500.0,0.029266661
149,223500,583.7939879894257,380,19.384443,0.91564935,0.0034260124,0.9654924273490906,-0.0017781075,223500,868.412514,1500.0,0.01853333
150,225000,587.6745233535767,386,20.757046,1.063227,0.0038760318,0.958088357001543,-0.0011283868,225000,727.89617,1500.0,0.04126666
151,226500,591.4577438831329,396,19.562265,1.0177989,0.002475865,0.945269025862217,-0.0013937581,226500,827.36137,1500.0,0.009133332
152,228000,595.3687252998352,383,20.873703,0.9835375,0.005726612,0.94272356107831,-0.0019770393,228000,843.438461,1500.0,0.044599988
153,229500,599.1431496143341,397,19.25372,0.96375525,0.0008423938,0.953009482473135,-0.0010280914,229500,886.335153,1500.0,0.0062
154,231000,603.132119178772,376,19.363285,0.97143936,0.001037159,0.9555247724056244,-0.0008236659,231000,824.325662,1500.0,0.00013333333
155,232500,606.9565773010254,392,18.388632,0.94225883,0.002391942,0.9684451371431351,-0.0026679216,232500,853.751451,1500.0,0.02806666
156,234000,610.7404038906097,396,21.574312,1.1799234,0.00097205176,0.9447245709598064,-0.00044253882,234000,772.242966,1500.0,0.0047999998
157,235500,614.4924323558807,399,18.6261,1.1343046,0.0043723844,0.9450454600155354,-0.0031079503,235500,927.776673,1500.0,0.016199995
158,237000,618.2768301963806,396,19.539135,0.99472654,0.0058216276,0.9625189565122128,-0.0054782284,237000,922.320256,1500.0,0.049399976
159,238500,622.1725854873657,385,22.79339,1.1888437,0.0003070388,0.9386461488902569,-0.00039666926,238500,838.851566,1500.0,0.0
160,240000,625.9801449775696,393,22.320063,1.0940424,0.00035858192,0.9382339231669903,-0.00052245666,240000,752.807634,1500.0,0.0
161,241500,629.7120740413666,401,30.821243,1.0793325,0.000631434,0.9300993233919144,-0.0013145005,241500,655.994087,1500.0,6.666667e-05
162,243000,633.559458732605,389,27.024376,1.0593408,0.0029574959,0.9377326741814613,-0.0020993673,243000,711.144344,1500.0,0.017399993
163,244500,637.6400768756866,367,21.530935,1.1391374,0.004433258,0.9430951848626137,-0.004713093,244500,740.469584,1500.0,0.039933328
164,246000,641.4338300228119,395,35.480667,1.1216581,0.0025343152,0.9115209653973579,-0.0015463671,246000,654.776453,1500.0,0.016266663
165,247500,645.2647454738617,391,23.883595,1.0118148,0.0029307345,0.9577122367918491,-0.0037247573,247500,576.962248,1500.0,0.021333328
166,249000,649.0597774982452,395,20.188677,1.1458645,0.0030565965,0.9524886347353458,-0.0024534701,249000,776.12145,1500.0,0.03166666
167,250500,652.8857305049896,392,16.577282,1.1360897,0.0031982106,0.9600765556097031,-0.0034499455,250500,779.009803,1500.0,0.034266666
168,252000,656.6377747058868,399,28.483957,1.1021414,0.0025734387,0.932384729385376,-0.002217273,252000,754.546959,1500.0,0.0145333335
169,253500,660.388650894165,399,17.182453,0.9913388,0.00079442194,0.9655720666050911,-0.0009740524,253500,714.571211,1500.0,0.0
170,255000,664.1454365253448,399,21.168856,1.1560354,0.004400557,0.9460045322775841,-0.0020478703,255000,824.322648,1500.0,0.04173333
171,256500,667.9871480464935,390,25.13655,0.92937887,0.0026925884,0.9554291032254696,-0.002035219,256500,732.699704,1500.0,0.013133328
172,258000,671.7506697177887,398,20.345606,0.9660561,0.0005896457,0.9663565792143345,-0.0006077415,258000,785.092244,1500.0,0.0
173,259500,675.5212881565094,397,25.494036,1.102805,0.004065011,0.9366285502910614,-0.0038998458,259500,569.440309,1500.0,0.02893333
174,261000,679.2818315029144,398,22.212631,0.9573281,0.0030703682,0.9601008892059326,-0.0030544526,261000,816.094896,1500.0,0.02746666
175,262500,683.1953794956207,383,157.21957,1.0279188,0.0014455887,0.7953169196844101,-0.0031436977,262500,1031.592846,1500.0,0.0117333345
176,264000,687.0682284832001,387,51.293713,1.0055984,0.0006512876,0.9095453470945358,-0.0011637021,264000,787.515701,1500.0,0.0
177,265500,690.9899251461029,382,21.38234,1.0151068,0.0016317393,0.960267711430788,-0.0012076296,265500,644.209435,1500.0,0.0155333355
178,267000,694.7647619247437,397,18.833204,0.97310305,0.005577074,0.9689819253981113,-0.004651366,267000,821.306901,1500.0,0.08733333
179,268500,698.785297870636,373,1539.6162,1.1230022,0.0025189575,0.2500457167625427,-0.0015674434,268500,1355.554464,1212.0,0.007266666
180,270000,702.6343531608582,389,19.546564,1.0362444,0.0052098255,0.9588605090975761,-0.006524276,270000,923.87613,1500.0,0.073799975
181,271500,706.4279754161835,395,19.331171,1.0663447,0.0009002057,0.9585443325340748,0.00015912802,271500,834.171318,1500.0,0.00026666667
182,273000,710.2402420043945,393,19.201954,1.0216547,0.005560286,0.960528165102005,-0.0037409894,273000,848.272398,1500.0,0.08659997
183,274500,714.0082681179047,398,43.86627,0.90493155,0.0029517973,0.9307620897889137,-0.0029891848,274500,825.824455,1500.0,0.027199991
184,276000,717.8968684673309,385,210.0178,1.1207641,0.002977916,0.6668480336666107,-0.0007063758,276000,759.55214,1190.0,0.0156
185,277500,721.678525686264,396,20.06193,1.103937,0.0027648017,0.9441548362374306,-0.0026258563,277500,918.48843,1500.0,0.04213333
186,279000,725.4237368106842,400,30.695063,1.0484012,0.0011041652,0.9257074519991875,-0.001064007,279000,920.136173,1500.0,0.0015333336
187,280500,729.5558214187622,363,401.71997,0.6803199,0.00022341312,0.6390280425548553,-0.00050790515,280500,819.907741,1144.0,0.0
188,282000,733.590692281723,371,19.045057,1.0550644,0.0046994076,0.9602332934737206,-0.003562231,282000,904.998481,1500.0,0.044733316
189,283500,737.6025183200836,373,347.60056,0.71154696,0.0025339588,0.6244026124477386,-0.002270192,283500,723.127179,1094.0,0.028599996
