eplenmean,policy_loss,clipfrac,time_elapsed,fps,nupdates,policy_entropy,value_loss,eprewmean,explained_variance,serial_timesteps,total_timesteps,approxkl
587.94,-0.004607181,0.08673331,3461.088799238205,255,842,1.0343508,2.0756252,62.35894377,0.7352343499660492,1263000,1263000,0.0072237467
537.16,-0.0059769223,0.14366665,3466.6378610134125,270,843,1.07481,1.1621541,55.28299514000001,0.7324774265289307,1264500,1264500,0.010231035
525.37,-0.00015508066,0.0871333,3471.5036051273346,308,844,1.1253846,1.2783476,55.140777740000004,0.8384745717048645,1266000,1266000,0.0076121925
503.79,-0.0074562565,0.16453332,3477.4941103458405,250,845,0.98300743,1.3571125,53.94373111,0.7038770318031311,1267500,1267500,0.016591078
485.32,-0.008139542,0.12513334,3482.7752692699432,284,846,1.0804329,0.9960746,51.67258033999999,0.840511754155159,1269000,1269000,0.009955737
478.32,-0.0063892,0.1199333,3488.203146457672,276,847,0.99043113,1.3236732,51.280052930000004,0.6807834804058075,1270500,1270500,0.008858708
440.28,-0.0029928691,0.07733329,3493.426475048065,287,848,1.0071845,1.2748389,49.11934219000002,0.778535857796669,1272000,1272000,0.005712363
440.28,0.00034328495,0.1322668,3497.307719230652,386,849,1.4116513,0.3713348,45.637834100000006,0.9050979390740395,1273500,1273500,0.010048363
440.28,-0.00159134,0.14433333,3501.306405544281,375,850,1.3312155,0.5726497,43.22787858000001,0.842981293797493,1275000,1275000,0.011344008
440.28,-0.0030025644,0.14600006,3505.2549068927765,379,851,1.3533226,0.35545802,40.22015929,0.880020871758461,1276500,1276500,0.010358381
440.28,-0.0044279234,0.08913334,3509.1727883815765,382,852,1.2815398,0.1581249,39.567112900000005,0.9515388906002045,1278000,1278000,0.006509061
452.75,-0.002561985,0.08513334,3513.0371928215027,388,853,1.1978545,0.22730021,39.8078002,0.9440868236124516,1279500,1279500,0.0070802406
452.75,-0.0051061325,0.11480002,3516.903116464615,388,854,1.2203008,0.7441344,39.2594852,0.8823088705539703,1281000,1281000,0.00776497
452.75,-0.0044274684,0.12599999,3520.8645856380463,378,855,1.2519028,11.321392,38.19330293,0.5915965735912323,1282500,1282500,0.008321445
446.19,-0.00041261094,0.07259997,3525.168011903763,348,856,1.0170776,7.86001,37.316780249999994,0.6430156230926514,1284000,1284000,0.0053144465
434.03,-0.0062722005,0.13966668,3529.417469024658,353,857,0.98402,0.95934427,36.26497886,0.8443123549222946,1285500,1285500,0.009207637
445.98,-0.0010312267,0.09266667,3533.7792477607727,343,858,1.0492824,0.6714608,36.887890649999996,0.9146787226200104,1287000,1287000,0.0072792512
455.83,-0.003623405,0.14720002,3538.3919887542725,325,859,1.0866277,0.3058449,37.35687332,0.9241592809557915,1288500,1288500,0.010282935
462.53,-0.000542623,0.13920005,3542.711867570877,347,860,1.041536,1.0748752,37.317613019999996,0.8976257368922234,1290000,1290000,0.008959284
460.24,-0.0056392676,0.17020002,3547.2159423828125,333,861,0.96294004,10.01713,33.566863479999995,0.5436384379863739,1291500,1291500,0.017447779
471.25,0.00090535416,0.050933324,3551.336030483246,364,862,1.1887496,14.854789,37.09220963,0.3867526650428772,1293000,1293000,0.004858474
481.53,8.275965e-05,0.0675333,3555.460297346115,363,863,0.802197,5.2817564,39.251331379999996,0.6152539551258087,1294500,1294500,0.005394107
480.01,0.015000948,0.27446675,3559.2537763118744,395,864,1.0867255,30.653992,39.19603529,0.6102258563041687,1296000,1296000,0.026680775
491.75,-0.0043291072,0.04599997,3563.1031267642975,389,865,1.1713718,23.936207,46.35401425,0.5205301642417908,1297500,1297500,0.009459223
506.31,-0.0022221257,0.053733304,3567.3384878635406,354,866,0.9356384,13.047154,52.415205609999994,0.7317487001419067,1299000,1299000,0.005511843
518.89,-0.0048699034,0.09686667,3571.2266891002655,385,867,1.1069808,27.845648,60.68558247,0.6344455182552338,1300500,1300500,0.009312488
535.32,-0.004762452,0.05606665,3575.36172246933,362,868,0.97402143,24.088495,67.91376256000001,0.6796020865440369,1302000,1302000,0.004371491
539.67,-0.007761385,0.10746665,3579.5080790519714,361,869,0.88669604,4.7067814,68.45871821,0.7664095163345337,1303500,1303500,0.008466007
552.23,-0.0076153018,0.09079998,3583.4651041030884,379,870,1.0158403,12.106703,71.98234987999999,0.6059464514255524,1305000,1305000,0.008668453
557.41,-0.0048938496,0.07239996,3587.4730422496796,374,871,1.0934746,7.254785,73.24344338,0.7329649031162262,1306500,1306500,0.007090439
572.18,-0.0037134858,0.0879333,3591.4397637844086,378,872,1.2063527,4.8361235,75.75452655999999,0.759067103266716,1308000,1308000,0.006391927
585.43,-0.0051359283,0.06746663,3596.12265253067,320,873,0.8713371,3.6016505,78.57812200999999,0.6011485457420349,1309500,1309500,0.005726572
596.56,-0.00447735,0.12613338,3599.99586725235,387,874,1.1425936,27.40912,83.33612793999998,0.4736987352371216,1311000,1311000,0.008849773
610.04,0.0009025999,0.08400001,3603.8423507213593,390,875,1.1961955,3.7381833,85.67469915,0.7897062301635742,1312500,1312500,0.0066149323
620.22,-0.0066857953,0.17526665,3608.0638115406036,355,876,0.7500946,0.8605121,85.80914648999999,0.8860154002904892,1314000,1314000,0.02498383
630.92,-0.0038811031,0.031266652,3611.9138674736023,389,877,1.2237455,10.400996,88.45816684999998,0.6071979999542236,1315500,1315500,0.006162038
633.01,-0.0040850337,0.047866654,3615.8680787086487,379,878,1.1033211,12.626435,88.58476031999999,0.7761005312204361,1317000,1317000,0.0051900186
638.12,-0.007081009,0.16140002,3620.0421895980835,359,879,0.9387095,9.146717,92.0665227,0.75987409055233,1318500,1318500,0.011715481
631.64,-0.0023251877,0.05513331,3624.691508293152,322,880,0.80235726,1.260363,88.17022889,0.8971589282155037,1320000,1320000,0.004130462
642.76,-0.0016057962,0.1126667,3628.5542380809784,388,881,1.2210492,23.602356,94.57765379,0.6949314177036285,1321500,1321500,0.0075108693
648.64,0.0019925334,0.15373331,3632.3650403022766,393,882,1.2734056,27.197073,100.63136344,0.7207832336425781,1323000,1323000,0.011474653
662.92,-0.00057043106,0.101200044,3636.364652633667,375,883,1.2069862,24.033432,107.36648323000001,0.7093058824539185,1324500,1324500,0.0068947463
673.34,-0.0062248223,0.09366664,3640.2637038230896,384,884,1.2636201,24.81195,114.32745381,0.7036328911781311,1326000,1326000,0.008223011
685.9,-0.0053732945,0.077933304,3644.2248706817627,378,885,1.2184256,21.411533,120.76448758999999,0.7503750175237656,1327500,1327500,0.0069539454
698.46,-0.0034348464,0.033066653,3648.2790298461914,370,886,1.240219,18.045553,126.64082465999999,0.7089929282665253,1329000,1329000,0.0049698916
706.38,-0.0065837423,0.20120001,3652.3647196292877,367,887,1.091588,2.0325048,127.30803366,0.8321365714073181,1330500,1330500,0.015815316
712.99,-0.0055432674,0.111333326,3656.3077771663666,380,888,1.1920663,14.65122,130.24242952,0.46231937408447266,1332000,1332000,0.011009573
726.58,0.0026653619,0.3822667,3660.1000411510468,395,889,1.1814163,0.8926656,131.56134680000002,0.9176920875906944,1333500,1333500,0.02736032
739.56,0.0001214159,0.15893334,3664.004951953888,384,890,1.2949913,5.263879,131.71439545,0.7613410651683807,1335000,1335000,0.010644563
750.93,0.00010547578,0.13806672,3667.982419490814,377,891,1.3639107,25.397839,133.74651306,0.6841541528701782,1336500,1336500,0.009510394
761.83,-0.0027335288,0.061466645,3671.819123506546,391,892,1.3974242,28.794888,141.70533944,0.6548553705215454,1338000,1338000,0.0056592063
772.55,-0.0019293493,0.09006667,3675.8181421756744,375,893,1.282765,8.58031,149.59931505,0.7613418847322464,1339500,1339500,0.006658203
794.78,-0.0046535213,0.15739995,3680.13041138649,347,894,1.0922258,7.6720457,152.69944601999998,0.7165161967277527,1341000,1341000,0.014668065
805.61,-0.0020376013,0.06566664,3684.116334915161,376,895,1.1820425,9.680441,155.65318911999998,0.7408630847930908,1342500,1342500,0.0056642075
818.55,-0.006690772,0.11593333,3688.1101660728455,375,896,1.2707709,19.770098,160.75543316,0.7281451225280762,1344000,1344000,0.00963246
