total_timesteps,eprewmean,approxkl,value_loss,serial_timesteps,explained_variance,policy_loss,fps,eplenmean,time_elapsed,nupdates,policy_entropy,clipfrac
261000,524.68,5.3231885e-05,23.950832,261000,0.948068767786026,-0.0005517366,381,1309.29,704.2201633453369,174,0.8674508,0.0
262500,525.53,0.00012811931,22.113659,262500,0.959871418774128,-0.0005692951,392,1309.29,708.0449113845825,175,1.0561892,0.0
264000,522.07,6.593519e-06,25.948597,264000,0.9589540548622608,-3.539147e-05,358,1304.0,712.2240200042725,176,0.8147627,0.0
265500,522.53,4.2105453e-06,21.660847,265500,0.9678486175835133,-2.5596142e-05,386,1301.58,716.1008720397949,177,0.77834076,0.0
267000,519.23,9.141779e-06,25.841639,267000,0.9403151795268059,-0.00028167755,374,1297.59,720.1076402664185,178,0.97370225,0.0
268500,518.06,4.9488797e-05,25.10736,268500,0.9499456621706486,-0.00052771077,356,1296.83,724.3173570632935,179,0.5607537,0.0
270000,518.28,1.7092423e-05,22.281527,270000,0.9488973505795002,-0.00019769097,387,1296.88,728.1912605762482,180,0.93588585,0.0
271500,526.39,3.0991287e-05,23.02093,271500,0.9658023826777935,-0.00033497825,385,1299.11,732.0848045349121,181,0.9154954,0.0
273000,519.49,1.2629608e-06,35.60632,273000,0.9414426274597645,-9.589051e-06,358,1291.85,736.266227722168,182,0.72810996,0.0
274500,516.67,7.1198037e-06,19.619503,274500,0.9335682317614555,-0.00015605488,386,1287.67,740.148059129715,183,0.607997,0.0
276000,510.11,1.3643178e-05,38.069748,276000,0.9223382547497749,-0.00026949725,350,1279.51,744.4295794963837,184,0.6138877,0.0
277500,508.7,0.00011755863,19.820925,277500,0.950448352843523,-0.0008389486,384,1277.88,748.335832118988,185,0.7434585,0.0
279000,501.57,8.4125e-05,33.716995,279000,0.9238708838820457,-0.00063452194,356,1270.32,752.5499477386475,186,0.5998409,0.0
280500,496.97,3.0754138e-05,20.341108,280500,0.9533390365540981,-0.00013809887,387,1265.49,756.4219946861267,187,0.7837064,0.0
282000,490.7,2.931543e-06,34.478546,282000,0.9406648725271225,-0.00025767024,355,1259.18,760.6425004005432,188,0.7360951,0.0
283500,490.93,9.031821e-06,21.639515,283500,0.9504883252084255,-0.0001007075,373,1258.55,764.6573419570923,189,0.7166264,0.0
285000,488.51,0.000100538964,21.119446,285000,0.9684420824050903,-0.000638039,374,1256.21,768.6672196388245,190,0.92355,0.0
286500,479.99,3.490428e-05,34.027924,286500,0.9431782886385918,-0.00040208042,353,1251.07,772.906632900238,191,0.7733433,0.0
288000,473.96,4.987137e-06,18.903229,288000,0.9525712355971336,-0.00010476287,382,1246.08,776.8290400505066,192,0.66280097,0.0
289500,471.97,1.023607e-05,22.665804,289500,0.953817579895258,-0.00021080219,384,1241.23,780.7258958816528,193,1.0103528,0.0
291000,466.72,5.036993e-06,35.75107,291000,0.9354425445199013,-9.47666e-05,351,1234.84,784.9976861476898,194,0.6318135,0.0
