serial_timesteps,total_timesteps,value_loss,time_elapsed,nupdates,clipfrac,fps,policy_loss,explained_variance,policy_entropy,approxkl,eprewmean,eplenmean
160500,160500,19.497635,434.4399244785309,107,0.009133333,387,-0.0016105777,0.9632600620388985,0.9530707,0.00095850514,939.306665,1500.0
162000,162000,19207.807,438.4815044403076,108,0.116466664,371,-0.0057550385,0.05419814586639404,0.99067473,0.007678287,3475.502968,1468.0
163500,163500,20.019184,442.3810684680939,109,0.005,384,-0.0008163147,0.9634248539805412,0.91771454,0.0006705959,861.536989,1500.0
165000,165000,7.420284,446.4278576374054,110,0.0805333,370,-0.0032684568,0.9878072272986174,0.9563299,0.004827484,585.737148,1028.0
166500,166500,20819.732,450.65874552726746,111,0.0,354,-0.0005743757,0.0541079044342041,1.0143341,0.00070924975,3345.246369,1162.0
168000,168000,27.667261,455.26028275489807,112,0.017600002,325,-0.00448173,0.9500089958310127,0.6179444,0.0023467124,575.180664,876.0
169500,169500,13.551647,459.4194655418396,113,0.021733329,360,-0.0037102595,0.9755393527448177,0.8592469,0.0028499847,728.934908,1131.0
171000,171000,1.4543865,463.6860423088074,114,0.0038666658,351,-0.00132341,0.9975011472124606,0.60134864,0.00117116,540.796234,976.0
172500,172500,5.066603,467.5420289039612,115,0.0,389,-0.00039342846,0.9908918580040336,0.794505,0.0001626427,438.347147,996.0
174000,174000,199.00371,471.74747920036316,116,0.06679998,356,-0.0065872036,0.7903555035591125,0.76588035,0.0048521305,670.039065,1154.0
175500,175500,22.138897,475.57045888900757,117,0.018666666,392,-0.0023263446,0.9582304395735264,1.0332348,0.0027018809,853.225001,1500.0
177000,177000,27.579575,479.4943323135376,118,0.002933333,382,-0.0011460353,0.9502579867839813,0.7439614,0.00088638574,259.885339,764.0
178500,178500,21.084345,483.3012731075287,119,0.023066659,394,-0.002137797,0.9655882306396961,0.9825096,0.003065171,784.418357,1500.0
180000,180000,22.695784,487.19280529022217,120,0.03426665,385,-0.0030252037,0.9629733376204967,0.98736113,0.0034033232,801.890832,1500.0
181500,181500,25.250582,491.1720869541168,121,0.04433332,376,-0.0016036172,0.9571697972714901,0.98077255,0.0028718254,806.201691,1500.0
183000,183000,20.135368,495.00928568840027,122,0.020266669,390,-0.0021451735,0.9520218372344971,1.0787812,0.0021998351,746.355319,1500.0
184500,184500,20.932371,498.8621699810028,123,0.035666656,389,-0.004197779,0.9625534154474735,1.0177125,0.0032112375,949.547784,1500.0
186000,186000,21.212858,502.7034366130829,124,0.0,390,-0.0008219619,0.9529601968824863,1.08215,0.0006206121,851.264205,1500.0
187500,187500,21.40366,506.5534429550171,125,0.0,389,-0.0002907652,0.9455110765993595,1.0875957,0.00017436608,866.325696,1500.0
189000,189000,20.554205,510.35156774520874,126,0.060799994,394,-0.002825788,0.9431362375617027,1.0862592,0.0043103723,956.989803,1500.0
190500,190500,19.479803,514.2260458469391,127,0.041066676,387,-0.005591296,0.9585110023617744,1.0237111,0.004138891,973.619985,1500.0
192000,192000,22.505043,518.4027836322784,128,0.030466653,359,-0.0045342487,0.9591551534831524,0.5606798,0.0020380176,279.523528,738.0
193500,193500,731.42017,522.6373522281647,129,0.018199997,354,-0.001441671,0.4658397436141968,0.97675866,0.003473265,467.674257,924.0
195000,195000,21.14258,526.4810633659363,130,0.0,390,-0.00014549347,0.9651610888540745,0.95628494,0.00069738016,775.671372,1500.0
196500,196500,20.653664,530.3086490631104,131,0.0061999992,391,-0.0011932722,0.9663554839789867,0.9995065,0.00082225,787.451016,1500.0
198000,198000,17.50365,534.2836153507233,132,0.0049333335,377,-0.0011475513,0.9735678117722273,0.9270155,0.0010766266,927.911475,1480.0
199500,199500,20.003542,538.1242036819458,133,0.009666666,390,9.234664e-05,0.9585415422916412,0.985269,0.0012354744,883.372185,1500.0
201000,201000,31.13148,542.0144126415253,134,0.041399986,385,-0.0053766333,0.9425719492137432,0.6072269,0.0037458974,216.622562,690.0
202500,202500,1272.206,545.9638338088989,135,0.02046666,379,-0.006415641,0.33341771364212036,0.9404289,0.002154728,1175.229237,1178.0
204000,204000,417.02188,550.1488976478577,136,0.102933295,358,-0.012128919,0.6456766426563263,0.6602112,0.005885924,638.005194,969.0
205500,205500,21.669529,553.998153924942,137,0.06206663,389,-0.0079961205,0.9559705667197704,0.850638,0.0047929743,550.241341,1118.0
207000,207000,21.119854,557.8974466323853,138,0.031066656,384,-0.0027317763,0.9681130982935429,0.96089935,0.002944439,421.437569,956.0
208500,208500,38.048466,562.0725004673004,139,0.006733332,359,-0.0015106144,0.9524869956076145,0.6876872,0.001714318,671.832692,1142.0
210000,210000,2.3507135,565.9310324192047,140,0.061333295,388,-0.00455634,0.993207426276058,0.95963097,0.00487324,685.22685,1142.0
211500,211500,19.664337,569.8500068187714,141,0.11653332,382,-0.0045410227,0.95863426476717,0.97875315,0.0070329024,973.130992,1500.0
213000,213000,6.1980534,573.8157250881195,142,0.02746666,378,-0.0031759029,0.9899799404665828,0.8867394,0.0025305548,533.794389,925.0
214500,214500,3.6388025,578.0216875076294,143,0.0049999994,356,-0.0014877443,0.9931690455414355,0.6097563,0.0008724317,364.68434,778.0
216000,216000,22.424467,581.9589033126831,144,0.006333334,381,-0.0022289965,0.9531261958181858,0.9885166,0.0022899508,892.332531,1500.0
217500,217500,39.016563,586.1966016292572,145,0.044199996,353,-0.002100339,0.9371062740683556,0.7357853,0.0031901149,703.722685,1071.0
219000,219000,3.7623315,590.1428153514862,146,0.016199999,380,-0.0022844293,0.9937005387619138,0.5140139,0.0013512393,494.18728,1026.0
220500,220500,62.98152,594.3021485805511,147,0.020666664,360,-0.003178595,0.9062900692224503,0.6338135,0.0020698842,348.718662,709.0
222000,222000,22771.922,598.4592077732086,148,0.036599994,360,-0.0026023707,0.06552088260650635,0.5650223,0.0023703428,3021.247941,690.0
223500,223500,6.206296,602.6659274101257,149,0.0651333,356,-0.0044657616,0.98803108651191,0.51370794,0.004287209,271.113962,737.0
225000,225000,1.0976269,606.5084335803986,150,0.05139997,390,-0.004391145,0.998047239263542,0.8002874,0.004060663,642.128049,1234.0
226500,226500,22.49407,610.3400683403015,151,0.08366666,391,-0.0055325166,0.9607342816889286,0.950697,0.004570012,768.669395,1500.0
228000,228000,22.049046,614.2155272960663,152,0.035733327,387,-0.0030381077,0.9537760615348816,0.9551213,0.003383777,826.114883,1500.0
229500,229500,19.811434,618.210241317749,153,0.036333323,375,-0.004073552,0.9600134752690792,1.0231376,0.00402341,900.651337,1500.0
231000,231000,20.927002,622.1462759971619,154,0.02573333,381,-0.0032243854,0.9591970890760422,1.0273,0.00438774,857.470112,1500.0
232500,232500,20.377129,625.9822406768799,155,0.11953333,391,-0.0065996153,0.9563302658498287,1.0098155,0.0065902444,862.203962,1500.0
234000,234000,19.972174,629.8820610046387,156,0.029666672,384,-0.0011325039,0.9665729887783527,0.9904406,0.0025627422,890.465372,1500.0
235500,235500,5.647282,633.7522668838501,157,0.03799998,387,-0.0037808106,0.9910280043259263,0.90979904,0.0025369448,900.238718,1436.0
237000,237000,22.369873,637.5890743732452,158,0.02833333,390,-0.0014876223,0.9631807804107666,1.0066596,0.002581394,779.070003,1500.0
238500,238500,21.61692,641.4360580444336,159,0.0066666645,389,-0.0007842302,0.9643492475152016,0.9779793,0.0019418639,824.018562,1500.0
240000,240000,24.159199,645.3937032222748,160,0.03306666,379,-0.00239198,0.947258111089468,1.0062058,0.0026138332,852.988722,1500.0
241500,241500,6.755682,649.3678996562958,161,0.09519999,377,-0.006060584,0.9868204798549414,0.9384074,0.005844137,612.990034,1069.0
243000,243000,1.766693,653.5049202442169,162,0.052533314,362,-0.0044646277,0.9971487920265645,0.87295866,0.0037138972,600.500729,1145.0
244500,244500,11915.321,657.3369672298431,163,0.01713333,391,-0.0013381089,0.0913514494895935,0.7240192,0.002423537,2745.588062,1217.0
246000,246000,35.464565,661.4941070079803,164,0.0067333337,360,-0.0015750353,0.9430364780128002,0.6845627,0.0015633323,551.922354,1123.0
247500,247500,38.82257,665.7483463287354,165,0.009933334,352,-0.0017765309,0.9265582635998726,0.569096,0.0011701329,310.807441,788.0
249000,249000,449.64142,669.5898203849792,166,0.014199998,390,-0.002043438,0.5995789468288422,0.5434553,0.0017854337,690.788836,755.0
250500,250500,40.015335,673.7574470043182,167,0.01593333,359,-0.0032900486,0.9478288516402245,0.8161558,0.002654872,589.039459,1151.0
252000,252000,1.5962892,677.6723139286041,168,0.014266664,383,-0.0016751777,0.9972044732421637,0.5258911,0.001258356,257.281713,686.0
253500,253500,1100124.8,682.1618430614471,169,0.0002,334,-0.0016204298,0.007577061653137207,0.46446502,0.00034564838,343.725288,775.0
255000,255000,39323.22,686.363007068634,170,0.023266668,357,-0.0016365197,0.0500984787940979,0.47670382,0.0018907837,4086.545298,744.0
256500,256500,33.19397,690.5321478843689,171,0.0,359,-0.0002797678,0.9358415529131889,0.40340182,0.00022697602,145.801343,681.0
258000,258000,1.8147446,694.3528599739075,172,0.0055999993,392,-0.00019148452,0.9967361679300666,0.5816942,0.0010275254,342.172588,885.0
259500,259500,2731634.5,698.638974905014,173,0.037066653,349,-0.003211186,0.001570582389831543,0.4820856,0.0030798058,434.388693,921.0
261000,261000,22.716982,702.8674743175507,174,0.013733332,354,-0.0014111511,0.9607118628919125,0.63182956,0.0013903017,213.304686,618.0
262500,262500,23.25618,707.0510017871857,175,0.0015333333,358,-0.0011695012,0.9598245322704315,0.59353054,0.00082935893,340.561124,897.0
264000,264000,22.83713,711.1958773136139,176,0.0026666669,361,-0.0012633749,0.9661350958049297,0.63464624,0.00063760503,545.182583,1006.0
265500,265500,2.8490536,715.0795361995697,177,0.0013333334,386,-0.00077511126,0.9948318176902831,0.63715255,0.0006056769,448.407728,893.0
267000,267000,12625408.0,719.280847787857,178,0.033000004,357,-0.0020217183,0.0020905733108520508,0.54554754,0.0022123414,167.373328,569.0
268500,268500,21.577156,723.5730147361755,179,0.11539999,349,-0.008177955,0.9687687214463949,0.81245565,0.006773468,729.081811,1298.0
270000,270000,9.583181,727.3917407989502,180,0.029933326,392,-0.0034082748,0.9862012369558215,0.82925856,0.0022785356,841.044528,1377.0
271500,271500,23.176214,731.2904262542725,181,0.0053999997,384,-0.00026703946,0.9535713344812393,0.9239845,0.0017422274,857.346457,1500.0
273000,273000,6.352493,735.1370511054993,182,0.02706666,389,-0.0029738825,0.9859391376376152,0.8301741,0.003176699,639.200387,1137.0
274500,274500,24.20431,738.9910111427307,183,0.06799997,389,-0.0085221175,0.9612901695072651,0.95732635,0.005363926,849.608139,1333.0
276000,276000,19.601782,742.8195006847382,184,0.0045333332,391,-0.0013325498,0.965514313429594,0.8923146,0.0018053034,861.58255,1500.0
277500,277500,838.15967,747.05024766922,185,0.0,354,-0.00033463203,0.4959719777107239,0.78117543,0.000570324,442.590662,885.0
279000,279000,3.0381005,750.917667388916,186,0.0,387,-0.00019859317,0.9938434488140047,0.71416396,9.8176446e-05,465.455593,865.0
280500,280500,4.4808116,755.0926625728607,187,0.022199998,359,-0.0019724322,0.9891652269288898,0.969572,0.0022968603,571.162644,1031.0
282000,282000,1.666177,758.9330201148987,188,0.0049333326,390,-0.0010114176,0.9967971418518573,0.5815432,0.0011332531,392.325704,827.0
283500,283500,4.3296156,763.2290172576904,189,0.02133333,349,-0.0022143344,0.9916417915374041,0.5794609,0.0021491228,273.265221,676.0
285000,285000,3.6083202,767.3496305942535,190,0.0006000001,364,-0.0010507061,0.9925631475634873,0.4354534,0.00011626459,290.803777,730.0
286500,286500,3.0776086,771.189216375351,191,0.02959999,390,-0.004348972,0.9942237944342196,0.92075485,0.0037413253,592.505367,1239.0
288000,288000,76.15749,775.4310669898987,192,0.0129333325,353,-0.0015694815,0.8945418745279312,0.76470953,0.0014916937,549.53332,813.0
289500,289500,27.758781,779.5894482135773,193,0.0058666663,360,-0.0017353223,0.9447607509791851,0.56963253,0.00080714474,123.72263,715.0
291000,291000,3.3512304,783.5269010066986,194,0.019999996,380,-0.001691693,0.9933564108796418,0.68881255,0.0013397292,604.260447,1131.0
292500,292500,2414781.0,787.575520992279,195,0.0018666663,370,-0.00014871644,0.003444373607635498,0.9000642,0.0008405078,29718.688699,1334.0
