mode,reward,step,vel,action
monkey,-6.209,1,0,1
monkey,-17.396,1,0,1
monkey,-18.093,1,0,1
monkey,-0.835,1,0,1
monkey,-19.896,1,0,1
monkey,-36.87,1,0,1
monkey,-65.336,1,0,1
monkey,-51.011,1,0,1
monkey,-2.53,1,0,1
monkey,-16.915,1,0,1
monkey,-3.532,1,0,1
monkey,-52.01,1,0,1
monkey,-11.104,1,0,1
monkey,-19.722,1,0,1
monkey,-24.404,1,0,1
monkey,-67.654,1,0,1
monkey,-10.402,1,0,1
monkey,-24.731,1,0,1
monkey,-1.919,1,0,1
monkey,-52.4,1,0,1
monkey,-2.315,1,0,1
monkey,-24.874,1,0,1
monkey,-20.647,1,0,1
monkey,-145.927,1,0,1
monkey,-40.137,1,0,1
monkey,-12.196,1,0,1
monkey,-11.214,1,0,1
monkey,-29.835,1,0,1
monkey,-3.177,1,0,1
monkey,-174.612,1,0,1
monkey,-39.41,1,0,1
monkey,-13.335,1,0,1
monkey,-16.117,1,0,1
monkey,-19.425,1,0,1
monkey,-1.642,1,0,1
monkey,-24.002,1,0,1
monkey,-2.961,1,0,1
monkey,-0.644,1,0,1
monkey,-1.426,1,0,1
monkey,-105.136,1,0,1
monkey,-27.407,1,0,1
monkey,-1.054,1,0,1
monkey,-73.566,1,0,1
monkey,-179.486,1,0,1
monkey,-47.049,1,0,1
monkey,-14.212,1,0,1
monkey,-15.955,1,0,1
monkey,-37.257,1,0,1
monkey,-0.212,1,0,1
monkey,-21.665,1,0,1
monkey,-49.048,1,0,1
monkey,-12.481,1,0,1
monkey,-34.997,1,0,1
monkey,-10.815,1,0,1
monkey,-0.675,1,0,1
monkey,-1.107,1,0,1
monkey,-2.73,1,0,1
monkey,-81.384,1,0,1
monkey,-85.198,1,0,1
monkey,-24.644,1,0,1
monkey,-15.268,1,0,1
monkey,-5.299,1,0,1
monkey,-152.302,1,0,1
monkey,-10.675,1,0,1
monkey,-31.831,1,0,1
monkey,-118.896,1,0,1
monkey,-40.254,1,0,1
monkey,-6.076,1,0,1
monkey,-12.46,1,0,1
monkey,-8.919,1,0,1
monkey,-14.405,1,0,1
monkey,-7.436,1,0,1
monkey,-2.251,1,0,1
monkey,-4.944,1,0,1
monkey,-48.959,1,0,1
monkey,-55.532,1,0,1
monkey,-0.603,1,0,1
monkey,-73.275,1,0,1
monkey,-0.694,1,0,1
monkey,-0.192,1,0,1
monkey,-0.106,1,0,1
monkey,-0.499,1,0,1
monkey,-18.002,1,0,1
monkey,-36.741,1,0,1
monkey,-2.588,1,0,1
monkey,-34.383,1,0,1
monkey,-0.22,1,0,1
monkey,-45.649,1,0,1
monkey,-8.475,1,0,1
monkey,-49.735,1,0,1
monkey,-53.371,1,0,1
monkey,-9.98,1,0,1
monkey,-5.906,1,0,1
monkey,-9.476,1,0,1
monkey,-57.286,1,0,1
monkey,-0.717,1,0,1
monkey,-98.951,1,0,1
monkey,-4.07,1,0,1
monkey,-27.789,1,0,1
monkey,-15.312,1,0,1
monkey,-10.906,1,0,1
monkey,-19.857,1,0,1
monkey,-45.165,1,0,1
monkey,-55.029,1,0,1
monkey,-0.831,1,0,1
monkey,-18.538,1,0,1
monkey,-15.677,1,0,1
monkey,-20.188,1,0,1
monkey,-0.303,1,0,1
monkey,-33.528,1,0,1
monkey,-1.116,1,0,1
monkey,-18.524,1,0,1
monkey,-5.549,1,0,1
monkey,-35.02,1,0,1
monkey,-93.661,1,0,1
monkey,-61.865,1,0,1
monkey,-63.902,1,0,1
monkey,-32.022,1,0,1
monkey,-47.051,1,0,1
monkey,-8.198,1,0,1
monkey,-88.456,1,0,1
monkey,-5.561,1,0,1
monkey,-43.576,1,0,1
monkey,-6.832,1,0,1
monkey,-17.896,1,0,1
monkey,-2.202,1,0,1
monkey,-0.09,1,0,1
monkey,-12.761,1,0,1
monkey,-0.326,1,0,1
monkey,-10.663,1,0,1
monkey,-28.85,1,0,1
monkey,-6.348,1,0,1
monkey,-85.186,1,0,1
monkey,-0.658,1,0,1
monkey,-30.086,1,0,1
monkey,-146.334,1,0,1
monkey,-22.931,1,0,1
monkey,-17.302,1,0,1
monkey,-41.539,1,0,1
monkey,-18.779,1,0,1
monkey,-20.523,1,0,1
monkey,-30.741,1,0,1
monkey,-2.443,1,0,1
monkey,-26.616,1,0,1
monkey,-0.32,1,0,1
monkey,-44.106,1,0,1
monkey,-13.074,1,0,1
monkey,-22.047,1,0,1
monkey,-12.483,1,0,1
monkey,-79.585,1,0,1
monkey,-0.998,1,0,1
monkey,-1.539,1,0,1
monkey,-6.418,1,0,1
monkey,-0.908,1,0,1
monkey,-58.756,1,0,1
monkey,-64.856,1,0,1
monkey,-0.136,1,0,1
monkey,-31.309,1,0,1
monkey,-10.776,1,0,1
monkey,-34.991,1,0,1
monkey,-12.046,1,0,1
monkey,-75.933,1,0,1
monkey,-11.76,1,0,1
monkey,-50.028,1,0,1
monkey,-15.079,1,0,1
monkey,-43.16,1,0,1
monkey,-2.814,1,0,1
monkey,-2.112,1,0,1
monkey,-1.652,1,0,1
monkey,-13.69,1,0,1
monkey,-20.294,1,0,1
monkey,-50.382,1,0,1
monkey,-0.003,1,0,1
monkey,-4.553,1,0,1
monkey,-3.28,1,0,1
monkey,-51.863,1,0,1
monkey,-7.691,1,0,1
monkey,-11.324,1,0,1
monkey,-1.058,1,0,1
monkey,-43.988,1,0,1
monkey,-48.645,1,0,1
monkey,-21.124,1,0,1
monkey,-60.812,1,0,1
monkey,-2.742,1,0,1
monkey,-65.458,1,0,1
monkey,-55.715,1,0,1
monkey,-52.131,1,0,1
monkey,-22.912,1,0,1
monkey,-0.97,1,0,1
monkey,-9.759,1,0,1
monkey,-4.823,1,0,1
monkey,-8.942,1,0,1
monkey,-43.326,1,0,1
monkey,-51.353,1,0,1
monkey,-59.367,1,0,1
monkey,-8.28,1,0,1
monkey,-30.42,1,0,1
monkey,-62.6,1,0,1
monkey,-8.303,1,0,1
monkey,-91.716,1,0,1
monkey,-42.402,1,0,1
monkey,-11.381,1,0,1
monkey,-26.111,1,0,1
monkey,-14.116,1,0,1
monkey,-11.19,1,0,1
monkey,-9.714,1,0,1
monkey,-66.244,1,0,1
monkey,-18.629,1,0,1
monkey,-8.726,1,0,1
monkey,-2.923,1,0,1
monkey,-74.284,1,0,1
monkey,-33.284,1,0,1
monkey,-37.782,1,0,1
monkey,-123.733,1,0,1
monkey,-12.169,1,0,1
monkey,-11.302,1,0,1
monkey,-14.289,1,0,1
monkey,-22.603,1,0,1
monkey,-7.349,1,0,1
monkey,-60.091,1,0,1
monkey,-5.57,1,0,1
monkey,-3.292,1,0,1
monkey,-5.765,1,0,1
monkey,-11.909,1,0,1
monkey,-108.235,1,0,1
monkey,-0.972,1,0,1
monkey,-54.443,1,0,1
monkey,-8.121,1,0,1
monkey,-3.906,1,0,1
monkey,-1.59,1,0,1
monkey,-6.833,1,0,1
monkey,-8.314,1,0,1
monkey,-35.932,1,0,1
monkey,-106.836,1,0,1
monkey,-3.836,1,0,1
monkey,-9.44,1,0,1
monkey,-48.958,1,0,1
monkey,-17.244,1,0,1
monkey,-22.674,1,0,1
monkey,-23.324,1,0,1
monkey,-17.26,1,0,1
monkey,-7.202,1,0,1
monkey,-90.494,1,0,1
monkey,-19.165,1,0,1
monkey,-19.992,1,0,1
monkey,-0.968,1,0,1
monkey,-24.01,1,0,1
monkey,-12.66,1,0,1
monkey,-8.545,1,0,1
monkey,-7.657,1,0,1
monkey,-20.524,1,0,1
monkey,-14.094,1,0,1
monkey,-73.568,1,0,1
monkey,-91.544,1,0,1
monkey,-24.563,1,0,1
monkey,-57.047,1,0,1
monkey,-18.638,1,0,1
monkey,-2.536,1,0,1
monkey,-9.052,1,0,1
monkey,-35.983,1,0,1
monkey,-22.265,1,0,1
monkey,-14.861,1,0,1
monkey,-66.253,1,0,1
monkey,-12.811,1,0,1
monkey,-16.893,1,0,1
monkey,-3.037,1,0,1
monkey,-2.873,1,0,1
monkey,-42.085,1,0,1
monkey,-17.082,1,0,1
monkey,-16.722,1,0,1
monkey,-3.807,1,0,1
monkey,-7.086,1,0,1
monkey,-30.566,1,0,1
monkey,-65.728,1,0,1
monkey,-40.174,1,0,1
monkey,-13.448,1,0,1
monkey,-40.435,1,0,1
monkey,-38.756,1,0,1
monkey,-26.573,1,0,1
monkey,-34.866,1,0,1
monkey,-11.338,1,0,1
monkey,-17.5,1,0,1
monkey,-39.853,1,0,1
monkey,-1.995,1,0,1
monkey,-19.384,1,0,1
monkey,-5.821,1,0,1
monkey,-1.424,1,0,1
monkey,-37.368,1,0,1
monkey,200,1,0.0149357458,1
monkey,200,1,0.0154722976,1
monkey,200,1,0.0155691105,1
monkey,200,1,0.0189834989,1
monkey,200,1,0.0227154816,1
monkey,200,1,0.0251963993,1
monkey,200,1,0.0307407323,1
monkey,200,1,0.0325399392,1
monkey,200,1,0.033023605,1
monkey,200,1,0.0334081862,1
monkey,200,1,0.0353257814,1
monkey,200,1,0.0355751061,1
monkey,200,1,0.0359550811,1
monkey,200,1,0.0372986648,1
monkey,200,1,0.038377455,1
monkey,200,1,0.0392488643,1
monkey,200,1,0.0403777005,1
monkey,200,1,0.0407586034,1
monkey,200,1,0.0422050404,1
monkey,200,1,0.0424390408,1
monkey,200,1,0.0426205088,1
monkey,200,1,0.0426940374,1
monkey,200,1,0.04294,1
monkey,200,1,0.0439421266,1
monkey,200,1,0.0445480648,1
monkey,200,1,0.0458899106,1
monkey,200,1,0.0460507335,1
monkey,200,1,0.0469801175,1
monkey,200,1,0.0472965526,1
monkey,200,1,0.0483624723,1
monkey,200,1,0.0495914288,1
monkey,199.473,1,0.0501320386,1
monkey,199.306,1,0.0501740768,1
monkey,197.983,1,0.0505093328,1
monkey,194.569,1,0.0513955679,1
monkey,193.432,1,0.0516978531,1
monkey,193.026,1,0.0518065481,1
monkey,191.433,1,0.052237501,1
monkey,190.134,1,0.0525945512,1
monkey,187.677,1,0.0532829703,1
monkey,187.508,1,0.0533311032,1
monkey,184.74,1,0.0541299936,1
monkey,184.51,1,0.0541976093,1
monkey,184.021,1,0.0543416077,1
monkey,180.71,1,0.0553372631,1
monkey,179.492,1,0.0557127446,1
monkey,178.857,1,0.0559106164,1
monkey,172.729,1,0.0578942816,1
monkey,170.561,1,0.0586299413,1
monkey,165.214,1,0.0605275067,1
monkey,163.449,1,0.0611810551,1
monkey,162.276,1,0.0616234154,1
monkey,158.427,1,0.0631205573,1
monkey,157.231,1,0.0636006249,1
monkey,156.536,1,0.0638829688,1
monkey,153.444,1,0.0651701669,1
monkey,152.85,1,0.0654237463,1
monkey,152.396,1,0.0656186747,1
