eplenmean,nupdates,policy_entropy,value_loss,explained_variance,clipfrac,total_timesteps,fps,time_elapsed,serial_timesteps,policy_loss,eprewmean,approxkl
1499.4609929078015,141,0.7225571,0.12840171,0.6042813062667847,0.12946667,211500,384,553.3599154949188,211500,-0.007903471,0.20613507801418438,0.008767238
1499.4718309859154,142,1.0792612,0.07858778,0.8203324973583221,0.24726662,213000,385,557.2548367977142,213000,-0.018210506,0.20468342253521127,0.01933851
1499.4825174825176,143,0.6887172,0.17735834,0.4020776152610779,0.04413331,214500,374,561.2578492164612,214500,-0.0025191882,0.20325206993006992,0.003362607
1499.4930555555557,144,1.1170663,0.023289783,0.7828840613365173,0.101666644,216000,391,565.0859146118164,216000,-0.005375332,0.20184059722222222,0.007641416
1499.503448275862,145,1.1708688,0.015767708,0.27959829568862915,0.08053331,217500,380,569.0257890224457,217500,-0.0036222658,0.20044859310344826,0.007049945
1499.513698630137,146,1.1028161,0.029820824,0.519559234380722,0.29113328,219000,392,572.8517153263092,219000,-0.0072766794,0.19907565753424658,0.020845471
1499.5238095238096,147,0.77407384,0.14190124,0.8559276461601257,0.059733316,220500,382,576.7717561721802,220500,-0.0018249629,0.1977214013605442,0.005177813
1499.5337837837837,148,1.1083283,0.07075204,0.6688111424446106,0.19086675,222000,392,580.5892977714539,222000,-0.010313846,0.19638544594594592,0.0118402
1499.543624161074,149,0.71754724,0.096968696,0.8023545742034912,0.057533327,223500,373,584.6050510406494,223500,-0.0016087309,0.19506742281879194,0.0041463766
1499.5533333333333,150,1.1336561,0.012296554,0.9407653883099556,0.27166668,225000,391,588.4344444274902,225000,-0.011900846,0.19376697333333331,0.016694093
1499.5629139072848,151,0.7288742,0.04134979,0.61006960272789,0.13626668,226500,390,592.276608467102,226500,-0.0071564377,0.19248374834437085,0.008398034
1499.5723684210527,152,0.66592944,0.059448395,0.785763293504715,0.103333324,228000,395,596.0703730583191,228000,-0.0071124583,0.19121740789473685,0.007823728
1499.5816993464052,153,0.6512954,0.065135844,0.10539686679840088,0.037733316,229500,391,599.898515701294,229500,-0.0025402538,0.18996762091503266,0.0027968232
1499.590909090909,154,1.036871,0.09731028,0.6801330745220184,0.1336667,231000,391,603.7304139137268,231000,-0.0024105709,0.18873406493506492,0.009874741
1497.716129032258,155,0.79514015,1.1848722,0.4048474431037903,0.12660001,232500,371,607.7737040519714,232500,-0.0018221104,0.25951767741935483,0.008937775
1497.7371794871794,156,1.0086436,0.024112275,0.751107394695282,0.117999986,234000,381,611.7056133747101,234000,-0.0062202555,0.25785410256410257,0.010391606
1497.7579617834394,157,0.95245576,0.03265679,0.741943746805191,0.14526671,235500,386,615.5882906913757,235500,-0.006189239,0.25621171974522294,0.010180057
1497.7784810126582,158,1.0120512,0.021521254,0.7606654167175293,0.1720667,237000,388,619.4498825073242,237000,-0.008422329,0.2545901265822785,0.012078578
1497.7987421383648,159,1.0311117,0.048751995,0.7583690732717514,0.047599975,238500,380,623.3948435783386,238500,-0.0016086885,0.25298893081761004,0.0044401274
1497.81875,160,0.69444495,0.02749331,0.8919418677687645,0.04079998,240000,389,627.2421655654907,240000,-0.003662122,0.25140775,0.0033999947
1497.8385093167701,161,0.99451995,0.13992587,0.7183796763420105,0.12579998,241500,380,631.1872770786285,241500,-0.007515165,0.24984621118012423,0.0098643685
1497.858024691358,162,0.80654585,0.060437307,0.8429563492536545,0.10686667,243000,395,634.9798176288605,243000,-0.0057750507,0.24830395061728394,0.007624867
1497.877300613497,163,1.0149342,0.016088888,0.6767643690109253,0.13513333,244500,392,638.7996737957001,244500,-0.006891411,0.2467806134969325,0.0103018535
1497.8963414634147,164,1.1086768,0.017174281,0.6745450794696808,0.25026667,246000,381,642.7357714176178,246000,-0.01277354,0.24527585365853657,0.015439296
1497.9151515151516,165,1.0790707,0.12602219,0.6276271939277649,0.091466665,247500,390,646.575674533844,247500,-0.0071756113,0.24378933333333333,0.0074138725
1497.933734939759,166,0.83388436,0.10080818,0.7831944525241852,0.11546667,249000,392,650.3985946178436,249000,-0.0073818015,0.24232072289156625,0.008628464
1497.9520958083833,167,0.82151103,0.08684547,0.8156854212284088,0.06679996,250500,386,654.2844195365906,250500,-0.0067796223,0.2408697005988024,0.004956446
1497.970238095238,168,0.95550615,0.040928554,0.688510924577713,0.18413332,252000,390,658.1284530162811,252000,-0.010918785,0.2394359523809524,0.018140286
1497.9881656804735,169,1.0403786,0.105387546,0.3321898579597473,0.14733334,253500,380,662.0742900371552,253500,-0.0048353537,0.23801917159763314,0.009153985
1498.0058823529412,170,0.8107364,0.15408467,0.7070750892162323,0.07566662,255000,382,665.996232509613,255000,-0.0040731337,0.2366190588235294,0.006200183
1498.0233918128654,171,0.8279188,0.051982485,0.41072994470596313,0.1332667,256500,361,670.147465467453,256500,-0.004698311,0.2352353216374269,0.0092257885
1498.0406976744187,172,0.8718539,0.02597649,0.7015109658241272,0.096733294,258000,386,674.0297796726227,258000,-0.008824058,0.23386767441860465,0.0084061595
1498.057803468208,173,0.9031147,0.060181137,0.617065817117691,0.08646664,259500,387,677.8987894058228,259500,-0.004587191,0.232515838150289,0.008412463
1496.551724137931,174,0.7347087,0.2991321,0.7256199717521667,0.16473332,261000,381,681.8279936313629,261000,-0.0026669265,0.23117954022988504,0.015381963
1496.577142857143,175,0.91760033,0.024111677,0.3429827094078064,0.12466666,262500,387,685.7039675712585,262500,-0.0053449613,0.22985851428571427,0.007980318
1496.6022727272727,176,0.8833964,0.10019935,0.4905930161476135,0.113933355,264000,388,689.5654480457306,264000,-0.007755829,0.2285525,0.0080939345
1496.6271186440679,177,0.829285,0.045255326,0.5370787680149078,0.0527333,265500,383,693.4733910560608,265500,-0.006414405,0.2272612429378531,0.0050823437
1496.6516853932585,178,0.8156228,0.057287473,0.648536205291748,0.038799983,267000,391,697.3084895610809,267000,-0.0027117326,0.22598449438202248,0.0036282719
1496.6759776536312,179,0.8052818,0.032341562,0.6176774799823761,0.086199954,268500,390,701.1453421115875,268500,-0.0049509187,0.22472201117318436,0.007482794
1496.7,180,0.8858679,0.053901263,0.0768316388130188,0.14613336,270000,384,705.0485308170319,270000,-0.0030045474,0.22347355555555556,0.010969711
1496.7237569060774,181,0.88112664,0.03452496,0.4336358308792114,0.15546674,271500,388,708.9105541706085,271500,-0.00806208,0.2222388950276243,0.010069506
1496.7472527472528,182,0.7632887,0.07362784,0.49665695428848267,0.16293335,273000,385,712.8036603927612,273000,-0.005093964,0.2210178021978022,0.009728823
1492.8251366120219,183,0.8573251,0.099648386,0.6036342680454254,0.16013338,274500,375,716.7952151298523,274500,0.001522496,0.21981005464480874,0.01228804
