nupdates,fps,eprewmean,time_elapsed,explained_variance,policy_loss,approxkl,policy_entropy,total_timesteps,clipfrac,serial_timesteps,eplenmean,value_loss
1782,235,62.57333333333333,14870.15554523468,0.29099178314208984,0.0008254132,0.0019591956,1.5582443,3649536,0.03125,912384,1490.7033333333334,3.7793512
1783,244,62.876666666666665,14878.530949831009,0.7928069233894348,-6.334631e-05,0.00017933107,1.552034,3651584,0.0,912896,1490.7033333333334,0.42005897
1784,277,62.876666666666665,14885.905743837357,0.4811421036720276,-0.00087374606,0.00023648072,1.5566463,3653632,0.0,913408,1490.7033333333334,0.522359
1785,232,62.61666666666667,14894.712209939957,0.08759868144989014,-0.00037922958,0.000558246,1.5564666,3655680,0.003092448,913920,1490.7033333333334,1.5807867
1786,253,62.74,14902.787427425385,0.011127173900604248,0.00016248878,0.00021728936,1.5448321,3657728,0.0,914432,1490.7033333333334,1.1145054
1787,276,62.74,14910.191808700562,-0.0060759782791137695,-0.00026690276,0.00012114243,1.5419124,3659776,0.0,914944,1490.7033333333334,2.1786058
1788,238,63.62,14918.781304359436,0.06080883741378784,0.00022827896,0.00012064961,1.5413041,3661824,0.00048828125,915456,1490.7033333333334,5.040876
1789,250,64.01666666666667,14926.960345745087,0.047107994556427,0.0002397967,6.0140035e-05,1.5391607,3663872,0.0,915968,1490.7033333333334,1.2904581
1790,252,63.84,14935.08063530922,0.0532078742980957,1.4907991e-05,1.0117387e-05,1.5413545,3665920,0.0,916480,1490.7033333333334,5.7316475
1791,247,64.56666666666666,14943.368055343628,0.09320312738418579,-0.00045201913,0.00024038857,1.5414314,3667968,0.0,916992,1490.7033333333334,3.9834878
1792,259,64.64333333333333,14951.25762629509,0.4632892608642578,0.0004227132,0.0003055774,1.5410737,3670016,0.0029296875,917504,1490.7033333333334,1.7526575
1793,264,65.53333333333333,14958.993853092194,0.26015520095825195,-0.00020767096,0.00017416105,1.5374951,3672064,0.0,918016,1490.7033333333334,9.041211
1794,236,66.31333333333333,14967.645842790604,0.3390502333641052,-0.0006012156,0.0002368433,1.5258385,3674112,0.0,918528,1490.7033333333334,7.378258
1795,271,66.31333333333333,14975.181782960892,-0.009250760078430176,-9.949319e-06,4.5882374e-05,1.5371685,3676160,0.0,919040,1490.7033333333334,1.6990377
1796,254,67.03,14983.239154338837,0.019520282745361328,-5.18742e-05,3.489233e-05,1.5247155,3678208,0.0,919552,1490.7033333333334,12.283578
1797,235,68.61333333333333,14991.92000246048,0.045835256576538086,-0.00027396655,6.531973e-05,1.5292622,3680256,0.0,920064,1492.2433333333333,8.55562
